body_acc_x,body_acc_y,body_acc_z,body_gyro_x,body_gyro_y,body_gyro_z,total_acc_x,total_acc_y,total_acc_z,true_label
-0.02756762,-0.02419105,0.08823093,0.2415336,-0.124569,-0.005912807,0.9802254,-0.2755857,0.1514509,STANDING
-0.0550325,-0.00717167,0.08069507,0.2255286,-0.2270818,0.05430101,0.9520292,-0.2592684,0.1481351,STANDING
-0.05747971,0.007895104,0.06832704,0.1691996,-0.2882649,0.1392022,0.9488618,-0.2449041,0.1398829,STANDING
-0.04709599,0.008796381,0.04933177,0.1132428,-0.2132772,0.1554463,0.9585349,-0.2447039,0.1248992,STANDING
-0.02836169,0.01416287,0.03951369,0.09224943,-0.07329748,0.1156795,0.976567,-0.2400349,0.1189882,STANDING
-0.01718489,-0.00296737,0.04721201,0.04837056,-0.02959762,0.09634122,0.9870492,-0.2578569,0.1304884,STANDING
-0.007375886,-0.02636796,0.05130042,0.0572584,-0.05468046,0.06159134,0.9961715,-0.281942,0.1382731,STANDING
0.02477877,-0.02129044,0.03086796,0.1158533,-0.05025557,0.05947269,1.027648,-0.2775408,0.1214311,STANDING
0.02392934,-0.02070557,0.01393062,0.1873647,-0.005992301,0.06809691,1.026131,-0.2776241,0.1079785,STANDING
0.02124837,-0.03056498,0.0197803,0.3286578,0.02525146,0.01359449,1.022794,-0.2881434,0.1172064,STANDING
0.009699963,-0.02241858,0.02258185,0.3727191,-0.006523946,0.0115248,1.010605,-0.2806487,0.1232793,STANDING
-0.0351189,-0.00893394,0.01571502,0.2904909,-0.05991313,0.04611455,0.9651603,-0.2678075,0.1195766,STANDING
-0.01073326,-0.002858251,0.01400839,0.2511459,-0.06363136,0.04803893,0.9889361,-0.2623667,0.1209272,STANDING
0.02367233,0.005164955,0.01280083,0.2008658,0.04070774,0.05084294,1.022747,-0.2549691,0.1226699,STANDING
0.0149295,0.006896072,0.008755589,0.1324969,0.1775018,0.03866117,1.013427,-0.2538533,0.1214685,STANDING
0.0219062,0.001812496,0.007931521,0.1306115,0.1417253,0.03896182,1.019843,-0.2595405,0.1233823,STANDING
0.005084408,-0.003700161,0.007130019,0.1392856,0.01904346,0.03985049,1.002479,-0.2656444,0.1252134,STANDING
-0.01307007,-0.01469174,0.008562713,0.111512,0.0139172,0.0250628,0.9838019,-0.277214,0.1291742,STANDING
-0.007980912,-0.01456102,0.01133426,0.1081983,0.01929157,0.03306567,0.9883876,-0.2776479,0.1343704,STANDING
-0.01276399,-0.007670387,0.009463368,0.1297339,-0.02626442,0.03634128,0.9831198,-0.2713087,0.1348222,STANDING
-0.009868673,-0.01065193,0.006356887,0.1255424,-0.04505761,0.05115753,0.9855486,-0.2748284,0.1339379,STANDING
-0.003697022,-0.008290854,-0.002158194,0.1564388,-0.05819055,0.06679214,0.9912714,-0.2729923,0.1275461,STANDING
0.004780647,-0.009688407,-0.01296804,0.2253541,-0.04718179,0.05542619,0.9993174,-0.2749015,0.1187621,STANDING
0.007929172,-0.01683062,-0.01707781,0.250885,-0.02253747,0.06188489,1.002052,-0.2825422,0.1165818,STANDING
-0.0005494434,-0.01101014,-0.01864453,0.1987849,-0.03475333,0.06415937,0.9931758,-0.2772074,0.1168493,STANDING
-0.0009154686,-0.004164071,-0.01777832,0.1253592,-0.05713701,0.05930934,0.9924299,-0.2708342,0.1194555,STANDING
-0.004986818,-0.0003903883,-0.01298545,0.164856,-0.08610851,0.06241875,0.9879958,-0.2675208,0.1258951,STANDING
0.009075029,0.0004010374,-0.005478134,0.2395854,-0.08256453,0.05518708,1.001712,-0.2671768,0.1349576,STANDING
0.03304061,-0.003548096,-0.005577561,0.2614954,-0.04512448,0.05002077,1.025348,-0.2715603,0.1363237,STANDING
0.01976332,0.0004228146,-0.02641229,0.2646042,-0.01253088,0.01986777,1.011759,-0.2680104,0.1168667,STANDING
1.003892e-05,0.005834975,-0.05088831,0.1547728,0.02887514,-0.01108888,0.9917118,-0.2630059,0.09368241,STANDING
-0.01713927,0.008276641,-0.05118498,0.05575302,-0.01202823,0.02929221,0.9742868,-0.2609582,0.09459222,STANDING
-0.02995772,0.009782567,-0.03392995,0.0996131,-0.08323387,0.07741061,0.9612096,-0.259832,0.112969,STANDING
-0.009447973,0.004626488,-0.02500994,0.1211366,-0.05557935,0.06325971,0.9814763,-0.2653533,0.122927,STANDING
0.005133523,0.0005722015,-0.02620767,0.1118267,-0.05373458,0.05281168,0.9958289,-0.269758,0.1226852,STANDING
-0.002512143,-0.002826799,-0.02590339,0.1400531,-0.0775773,0.06801058,0.987968,-0.2734924,0.1238651,STANDING
0.003219432,-0.005553186,-0.02380734,0.1644726,-0.05380588,0.05716639,0.9934975,-0.2765396,0.1267587,STANDING
0.01233013,-0.001470856,-0.02454091,0.1663053,-0.05245378,0.05145665,1.002419,-0.2727638,0.1267468,STANDING
0.009279629,0.00665052,-0.02631933,0.1702878,-0.06137388,0.05509624,0.9991921,-0.2649349,0.1256164,STANDING
0.004929711,0.01864973,-0.02688753,0.1752221,-0.09536355,0.04334361,0.9946787,-0.2532142,0.1256249,STANDING
0.003953596,0.0155395,-0.03663861,0.1308618,-0.1464495,0.05239831,0.9935518,-0.2565887,0.1163814,STANDING
0.009214429,-0.0005741864,-0.04589336,0.07885598,-0.1261743,0.0597087,0.9986743,-0.2729519,0.1075668,STANDING
0.01615613,-0.003363692,-0.03844888,0.08249604,-0.09285049,0.05443285,1.00549,-0.2759762,0.115386,STANDING
0.0140794,-0.002115896,-0.03048105,0.1242816,-0.08543486,0.05400873,1.0033,-0.274949,0.1236646,STANDING
0.01310521,-0.0007069899,-0.02872718,0.150259,-0.05160031,0.03629215,1.002225,-0.273747,0.1256672,STANDING
0.02124696,-0.002638898,-0.03071722,0.1114992,-0.007534698,0.02544023,1.010279,-0.2758725,0.1238663,STANDING
0.02682344,-0.008448122,-0.03261226,0.08125651,0.05328759,0.02591023,1.01578,-0.2818627,0.1221028,STANDING
0.03105437,-0.0006134583,-0.02349439,0.1270743,0.1620469,0.02023111,1.019949,-0.2741971,0.1312971,STANDING
0.03788606,0.007368119,-0.01450886,0.1533416,0.2622705,0.02509599,1.026733,-0.266373,0.1403063,STANDING
0.02646287,0.01268074,-0.01113465,0.09383709,0.2391559,0.03469741,1.015277,-0.2612068,0.1436541,STANDING
-0.02144115,0.01717712,0.001991674,0.04608135,0.06824616,0.042653,0.9673556,-0.2568455,0.156707,STANDING
-0.06056795,0.01149838,0.01866558,0.06791574,-0.0627336,0.04192949,0.9282254,-0.2626477,0.1732641,STANDING
-0.02472538,0.007789626,0.01349108,0.07672814,-0.01231044,0.03422621,0.9640761,-0.2664683,0.1679331,STANDING
0.02027213,0.00139833,0.001561356,0.06551382,0.04217049,0.03439686,1.009091,-0.2729597,0.1558112,STANDING
-0.001934094,-0.002151349,0.007113016,0.07762953,-0.007754345,0.03170469,0.9869095,-0.2765982,0.1611386,STANDING
-0.008906713,0.003351337,0.006368915,0.0794816,-0.004051875,0.02958805,0.9799691,-0.2711735,0.1601415,STANDING
0.009537665,0.001304036,0.004295785,0.0765191,0.02157511,0.0279436,0.9984525,-0.2732885,0.1577895,STANDING
-0.004331663,0.002976261,0.01394819,0.08409277,-0.01631445,0.02012837,0.9846282,-0.2716742,0.1671403,STANDING
-0.001863836,0.009296346,0.01318001,0.07813035,-0.008571455,0.02488132,0.9871465,-0.2654026,0.1660506,STANDING
0.004955075,0.01039831,0.01031929,0.07479345,0.001128579,0.02984227,0.994021,-0.2643399,0.1628516,STANDING
-0.005336136,0.008613594,0.008817894,0.07738951,-0.01471269,0.02485803,0.9837897,-0.2661548,0.1609977,STANDING
0.002000789,0.003315371,0.006969591,0.07086326,0.0001036696,0.02724916,0.9911906,-0.2714743,0.1587854,STANDING
-0.001707518,0.005786912,0.009000444,0.07105643,-0.02072537,0.02984224,0.9875496,-0.2690153,0.1604427,STANDING
-0.006463498,0.008873128,0.000461027,0.07395437,-0.03153114,0.03252031,0.9828639,-0.2659332,0.1515226,STANDING
0.0002041221,0.004833663,-0.002703228,0.07609898,-0.0215246,0.03893814,0.9896043,-0.2699687,0.147972,STANDING
-0.003640011,0.005369819,0.003882276,0.08358247,-0.03710509,0.04084469,0.9858347,-0.2694207,0.1541673,STANDING
8.268369e-05,0.004102512,0.003865049,0.08856086,-0.03840859,0.04389336,0.9896334,-0.2706686,0.1537571,STANDING
-0.001441615,0.003982542,0.002232555,0.09316269,-0.05690906,0.04916343,0.9881861,-0.270762,0.1517306,STANDING
-0.005959391,0.008613088,-0.002988084,0.09197121,-0.0713099,0.05735395,0.983746,-0.2660981,0.146116,STANDING
0.0003439891,0.008008383,-0.005690782,0.09011453,-0.07226133,0.06895519,0.9901273,-0.2666628,0.1430204,STANDING
0.0005579952,0.007644963,-0.004712451,0.09470479,-0.08710737,0.07450618,0.9904191,-0.2669799,0.1436079,STANDING
0.002381427,0.007352447,-0.003658697,0.09523425,-0.08503855,0.07518719,0.9923201,-0.2672199,0.1442734,STANDING
0.001827785,0.005151153,0.00202747,0.09933513,-0.09146661,0.07559062,0.9918436,-0.2693626,0.1495746,STANDING
-0.001456066,0.004069637,0.00314718,0.1005492,-0.09276086,0.07802341,0.9886363,-0.2703799,0.1503135,STANDING
-0.0002000597,0.001316986,0.0031764,0.09031069,-0.08774293,0.08137387,0.9899682,-0.273063,0.1499668,STANDING
-0.0005704138,0.001404172,0.004009501,0.0817256,-0.09798952,0.08231464,0.9896729,-0.2729013,0.1504297,STANDING
0.002604942,0.00201086,0.002885342,0.07961054,-0.09255884,0.08232813,0.9929223,-0.2722157,0.148942,STANDING
0.002643619,3.024107e-05,0.004276547,0.08665562,-0.08942823,0.07839768,0.9930339,-0.2741134,0.1499768,STANDING
0.001597029,0.00220445,0.002609942,0.09785184,-0.08913459,0.07411614,0.9920592,-0.2718528,0.1479618,STANDING
0.003817782,0.003984578,0.003378109,0.1142681,-0.09601731,0.07358875,0.9943507,-0.2699831,0.1483899,STANDING
0.001647975,0.001534505,0.00616631,0.1348545,-0.1173069,0.07423621,0.9922506,-0.2723409,0.1508469,STANDING
0.002943221,-0.0006953615,0.006370512,0.1467033,-0.1166541,0.07611644,0.9936145,-0.274476,0.1507295,STANDING
0.005581638,-0.00154871,0.008494817,0.157344,-0.1090417,0.06959125,0.9963205,-0.2752326,0.152542,STANDING
0.006256703,0.0002692092,0.007704069,0.1594033,-0.1068862,0.0612438,0.9970623,-0.2733163,0.15145,STANDING
0.005168976,0.005772398,0.01029522,0.14639,-0.1060018,0.06429968,0.9960405,-0.2677135,0.1537508,STANDING
-0.002521232,0.01286676,0.01547842,0.1370409,-0.1115466,0.06302698,0.9884157,-0.2605185,0.1586551,STANDING
-0.006362607,0.01700535,0.01512834,0.121578,-0.1148094,0.05823654,0.9846389,-0.2562781,0.1580381,STANDING
-0.002496613,0.01632543,0.01606208,0.1008672,-0.1183035,0.06275588,0.9885686,-0.2568547,0.1587177,STANDING
0.002455268,0.01485575,0.0162971,0.09018996,-0.1127995,0.06526171,0.9935828,-0.2582192,0.1587117,STANDING
0.004423559,0.01457588,0.01742235,0.0716631,-0.1033691,0.06121978,0.9956121,-0.2583914,0.1596097,STANDING
0.002110227,0.01475636,0.01984652,0.04839067,-0.1066589,0.05965006,0.9933585,-0.2581007,0.1618209,STANDING
-0.0005587891,0.01629761,0.01635543,0.03545334,-0.1079819,0.06203802,0.990748,-0.2564464,0.1581316,STANDING
-0.002944247,0.01676169,0.01351645,0.02698073,-0.1066316,0.06414125,0.9884197,-0.255866,0.1551095,STANDING
-0.001246899,0.0123828,0.01192077,0.02312703,-0.1082754,0.0645192,0.9901729,-0.2601251,0.1533461,STANDING
0.002848255,0.006816061,0.008016596,0.01809681,-0.1083084,0.06412948,0.9943224,-0.2655684,0.1492895,STANDING
0.002354558,0.004847082,0.006265668,0.01428405,-0.1084051,0.06224942,0.9938816,-0.2674106,0.1474012,STANDING
0.002720985,0.003337472,0.005891816,0.0176536,-0.1031778,0.05680046,0.9942994,-0.2687901,0.1469048,STANDING
0.00325529,0.002415699,0.004356735,0.01576542,-0.09347422,0.04912021,0.9948837,-0.2695789,0.1452615,STANDING
0.00130108,0.007363382,0.003093637,0.007846531,-0.08565578,0.04176194,0.9929783,-0.2644958,0.1439041,STANDING
0.001291511,0.01173502,0.003665587,-0.005055856,-0.07734212,0.03225787,0.9930164,-0.2599865,0.1443951,STANDING
0.001469997,0.009517414,0.004041945,-0.02043194,-0.072973,0.02700848,0.9932414,-0.2620643,0.1447033,STANDING
0.002573841,0.007305069,0.004888436,-0.02999741,-0.07064875,0.03054609,0.9943906,-0.2641348,0.1454939,STANDING
0.005731945,0.007304842,0.01021286,-0.0387265,-0.06024968,0.02928903,0.9975931,-0.2639912,0.1507741,STANDING
0.00706565,0.007330912,0.01341419,-0.04728239,-0.0517562,0.02536597,0.9989703,-0.2638194,0.1539427,STANDING
0.005109758,0.007153458,0.003646559,-0.05390624,-0.05042757,0.02482575,0.9970574,-0.2638495,0.1441536,STANDING
0.002433962,0.006675017,-0.007675242,-0.05946352,-0.04728904,0.02172305,0.9944241,-0.264179,0.132821,STANDING
0.002023941,0.005677063,-0.003617677,-0.06384749,-0.04564855,0.02344295,0.9940563,-0.2650266,0.1368779,STANDING
0.001381976,0.002271954,-0.0001559017,-0.06601634,-0.04652328,0.02567403,0.9934563,-0.2682803,0.140348,STANDING
0.001929847,-0.003524034,-0.005121043,-0.06096808,-0.04607753,0.02138657,0.9940459,-0.273924,0.1353996,STANDING
0.004875288,-0.009769052,-0.002792016,-0.05336909,-0.04331576,0.01868142,0.9970329,-0.2800164,0.1377527,STANDING
0.003776094,-0.01261429,-0.002986447,-0.04675768,-0.0425713,0.01628882,0.995975,-0.2827095,0.1375891,STANDING
0.00239999,-0.01073802,-0.0101775,-0.04193952,-0.05008465,0.01948171,0.9946402,-0.2806824,0.1304348,STANDING
0.002534996,-0.009377103,-0.01300997,-0.03474064,-0.05521702,0.02584515,0.9948164,-0.279173,0.1276442,STANDING
-0.0001126911,-0.008564795,-0.01306782,-0.0210447,-0.05665762,0.02535469,0.9922099,-0.2782152,0.1276321,STANDING
0.0004734671,-0.004699959,-0.007617066,-0.02250018,-0.05884269,0.02888369,0.9928373,-0.2742085,0.1331316,STANDING
0.002405244,0.0002872381,-0.002783056,-0.03014622,-0.0522505,0.03469783,0.9948101,-0.2690835,0.1380164,STANDING
0.001629907,0.00239913,-0.005152807,-0.02415537,-0.04588779,0.03466013,0.9940757,-0.2668382,0.135699,STANDING
0.002221101,0.003217802,-0.00660141,-0.02749062,-0.04718228,0.03082643,0.9947076,-0.2658904,0.1343037,STANDING
0.002134732,0.005806449,-0.006664889,-0.03359129,-0.04671636,0.02450415,0.9946618,-0.2631768,0.1342941,STANDING
0.002462753,0.004747375,-0.005861526,-0.03183113,-0.04520626,0.02642835,0.9950302,-0.2641149,0.1351513,STANDING
0.003525207,0.00190558,-0.006231622,-0.03108568,-0.04692402,0.03357151,0.9961329,-0.2668395,0.1348345,STANDING
0.001243419,0.002990038,-0.007361793,-0.02368642,-0.05054815,0.03444806,0.9938914,-0.2656416,0.1337567,STANDING
1.286596e-05,0.002067694,-0.007522543,-0.02190954,-0.05326686,0.03390623,0.9927009,-0.2664541,0.133647,STANDING
0.002336635,0.001843512,-0.01076763,-0.02483266,-0.0539375,0.03182497,0.9950647,-0.2665719,0.1304512,STANDING
0.004712685,0.004306936,-0.01228677,-0.02315081,-0.04949889,0.02743357,0.9974806,-0.2640055,0.1289791,STANDING
0.004801438,0.00356633,-0.01381497,-0.02875177,-0.04096798,0.02237003,0.9976091,-0.2646465,0.127495,STANDING
0.003797676,0.00378136,-0.01651178,-0.03439033,-0.03310021,0.01603953,0.9966452,-0.2643349,0.124839,STANDING
0.003253113,0.003026414,-0.01571881,-0.04201685,-0.02956064,0.01297271,0.9961406,-0.2649963,0.1256686,STANDING
0.0009177342,0.000236766,-0.01456531,-0.04877501,-0.0386487,0.01480529,0.9938454,-0.2676953,0.1268542,STANDING
-0.0007731699,0.002139888,-0.007715531,-0.04372744,-0.05484946,0.02573541,0.9921948,-0.2657043,0.1337308,STANDING
0.0002590531,0.003297515,-0.001249922,-0.04021469,-0.06817483,0.04033313,0.9932675,-0.2644615,0.1402179,STANDING
0.000188005,0.001938087,-0.006766656,-0.03372668,-0.0781197,0.04647435,0.9932368,-0.2657385,0.1347173,STANDING
-0.0002687473,0.002045401,-0.01584064,-0.02818664,-0.07771331,0.04980153,0.9928204,-0.2655513,0.1256541,STANDING
5.041087e-05,0.0005661387,-0.02217195,-0.03163614,-0.06837395,0.04953073,0.9931795,-0.2669532,0.119328,STANDING
0.000771575,-0.001299931,-0.02196211,-0.03171677,-0.05908489,0.04065863,0.9939404,-0.2687444,0.1195369,STANDING
0.004268887,-0.0009805732,-0.0190615,-0.0357286,-0.05125089,0.0285772,0.997477,-0.2683527,0.1224299,STANDING
0.007618512,-0.001265892,-0.02118728,-0.03808982,-0.04302477,0.01941202,1.000866,-0.2685682,0.1202892,STANDING
0.004564783,-0.002154273,-0.01969787,-0.03654726,-0.03795968,0.01926857,0.9978508,-0.2693894,0.121756,STANDING
0.0002721347,0.0002309699,-0.01272441,-0.04480329,-0.04188111,0.0235311,0.993597,-0.2669397,0.1286986,STANDING
0.0007171825,0.002365711,-0.008803028,-0.04857857,-0.04664988,0.02746037,0.9940811,-0.2647432,0.1325809,STANDING
-0.0009569654,-0.001782924,-0.01007603,-0.04554241,-0.05159383,0.03509015,0.9924459,-0.2688328,0.1312605,STANDING
-0.003173087,-0.005708251,-0.0116341,-0.04396229,-0.05873582,0.04652049,0.9902687,-0.2727017,0.1296472,STANDING
-0.001438474,-0.004713566,-0.007276087,-0.04139648,-0.05754662,0.05349455,0.9920419,-0.2716534,0.1339421,STANDING
-0.003490124,-0.00490818,-0.00409834,-0.03634297,-0.0576106,0.04640507,0.9900283,-0.2717973,0.1370493,STANDING
-0.005339193,-0.005886043,-0.00509638,-0.02440342,-0.06161488,0.03808238,0.9882166,-0.2727277,0.1359736,STANDING
-0.00155637,-0.004218453,-0.0028257,-0.0135844,-0.06199418,0.04225261,0.9920358,-0.2710159,0.13816,STANDING
0.0006599861,-0.003640803,-0.002148094,-0.01152974,-0.06604034,0.04658428,0.9942874,-0.2703975,0.1387473,STANDING
0.001781049,-0.004226426,-0.006490514,-0.01614415,-0.0630934,0.04576823,0.9954424,-0.2709459,0.134309,STANDING
0.005000602,-0.003130988,-0.01320206,-0.02102199,-0.05270893,0.04373941,0.9986949,-0.2698168,0.1274963,STANDING
0.006532441,-0.002504502,-0.01765575,-0.02037467,-0.04871462,0.03849716,1.000259,-0.2691603,0.1229365,STANDING
0.001905193,-0.003350369,-0.01452185,-0.02004384,-0.04654077,0.03234245,0.9956626,-0.2699797,0.1259592,STANDING
-0.002881269,-0.005754871,-0.01045028,-0.01828885,-0.04531181,0.03036442,0.9909067,-0.2723612,0.1299143,STANDING
-0.000654614,-0.008942701,-0.00852298,-0.01441702,-0.04125881,0.03490104,0.9931634,-0.2755297,0.13172,STANDING
-0.0003961092,-0.009811449,-0.006580579,-0.01061977,-0.03754948,0.03836962,0.9934512,-0.2763829,0.1335359,STANDING
-0.004384315,-0.009676153,-0.005152951,-0.005511181,-0.03858558,0.03538513,0.9894915,-0.2762361,0.1348323,STANDING
-0.0049458,-0.009855384,-0.004312101,-0.005285193,-0.03580462,0.03508081,0.9889575,-0.276408,0.1355377,STANDING
-0.002533479,-0.008880062,-0.005980005,-0.005531248,-0.03749361,0.0390779,0.9913962,-0.2754298,0.1337305,STANDING
0.0001625047,-0.008280541,-0.006716713,-0.008316554,-0.04134929,0.03996025,0.9941172,-0.274832,0.132851,STANDING
-0.001094813,-0.01006026,-0.007367886,-0.0149276,-0.0397963,0.03235833,0.9928836,-0.2766183,0.132054,STANDING
-0.004547416,-0.0138019,-0.007049048,-0.01397578,-0.03381948,0.01924601,0.9894532,-0.2803712,0.1322241,STANDING
-0.00531017,-0.01430736,0.0006449199,-0.01235152,-0.01926528,0.01781029,0.9887112,-0.2808932,0.1397667,STANDING
-0.004093545,-0.004496789,0.008908401,-0.01024882,-0.01726453,0.03528494,0.9899469,-0.2711044,0.1478768,STANDING
0.00220009,0.007091665,0.01421162,-0.009862623,-0.03273061,0.05471688,0.9962578,-0.259543,0.1530253,STANDING
0.0077876,0.004730625,0.01412899,-0.01746929,-0.04128761,0.05831106,1.001861,-0.2619359,0.1527878,STANDING
0.003433489,-0.004619849,0.001338054,-0.02124615,-0.03632182,0.05100018,0.9975208,-0.2713225,0.1398428,STANDING
-0.001238678,-0.01322889,-0.01703861,-0.02108687,-0.01963055,0.03697936,0.9928615,-0.2799715,0.1213135,STANDING
0.0004519467,-0.02380645,-0.02700233,-0.01012762,0.003590409,0.008402927,0.994564,-0.290593,0.1111986,STANDING
0.0006039382,-0.02205069,-0.02254782,0.00356441,0.02460939,-0.009533039,0.9947269,-0.2888855,0.1155026,STANDING
-0.002484562,-0.007101194,-0.002648797,-0.008478927,0.02271388,0.001776758,0.9916483,-0.2739894,0.1352512,STANDING
-0.004561601,0.004847026,0.02277721,-0.02729204,-0.005963349,0.02347728,0.9895802,-0.2620996,0.1605266,STANDING
-0.006002359,0.01006838,0.02384505,-0.0354145,-0.03923951,0.05266691,0.9881474,-0.2569415,0.1614446,STANDING
-0.006381638,0.003756108,0.006949462,-0.03682129,-0.06419441,0.06629556,0.9877747,-0.263321,0.1444011,STANDING
-0.005275829,-0.003991861,0.0005584972,-0.02318358,-0.0588982,0.05157569,0.9888856,-0.2711393,0.1378653,STANDING
-0.001489004,-0.006711783,-0.01025885,-0.00924979,-0.03498259,0.04576582,0.9926758,-0.2739325,0.1269065,STANDING
0.005152592,-0.01473714,-0.01664357,-0.01020376,-0.01799274,0.03353172,0.999319,-0.2820337,0.1203836,STANDING
0.004951368,-0.01618913,-0.01265132,-0.01463869,-0.002545842,0.007823806,0.9991179,-0.2835643,0.1242406,STANDING
0.0007315682,-0.01232878,-0.01627693,-0.02010143,-0.004326963,0.007967139,0.994897,-0.2797857,0.120482,STANDING
0.0005631227,-0.01117054,-0.003907386,-0.03178066,-0.009057132,0.01691752,0.9947264,-0.2787125,0.1327203,STANDING
-0.003596923,-0.004329662,0.007461507,-0.03676468,-0.01575515,0.02604884,0.9905634,-0.2719602,0.1439595,STANDING
-0.007370634,-0.00127647,0.003063504,-0.02742601,-0.04793071,0.04315552,0.9867858,-0.268999,0.1394337,STANDING
-0.006113298,-0.004797102,0.008642254,-0.02181119,-0.05792795,0.04914618,0.9880381,-0.2726147,0.1448868,STANDING
-0.007006984,-0.01428428,0.003337955,-0.01861338,-0.04860711,0.05307719,0.9871382,-0.2821998,0.1394597,STANDING
-0.006515367,-0.02682391,-0.005933965,0.001329833,-0.0502784,0.05072778,0.9876219,-0.2948402,0.130068,STANDING
-0.005302993,-0.02258994,-0.002807055,0.02381366,-0.04219363,0.03308076,0.9888247,-0.2907104,0.1330783,STANDING
-0.00549693,-0.01296338,-0.004563073,0.02600194,-0.04004283,0.02657038,0.9886193,-0.2811921,0.1312088,STANDING
-0.004016837,-0.01197022,-0.00128771,0.02042,-0.04405576,0.0281372,0.9900858,-0.2803115,0.1343737,STANDING
-0.001901094,-0.008829653,0.006496601,0.02379135,-0.0435105,0.02486349,0.992186,-0.2772879,0.1420505,STANDING
0.0006419535,-0.007938956,0.008141923,0.025377,-0.04908469,0.02566882,0.9947115,-0.2765185,0.1435914,STANDING
-0.002359773,-0.007399612,0.008100301,0.02346847,-0.04996825,0.02871192,0.9916903,-0.2761045,0.1434491,STANDING
-0.007316838,-0.002338491,0.007840917,0.02278582,-0.05106996,0.03143262,0.9867119,-0.2711726,0.1430929,STANDING
-0.003624611,-0.003938736,0.006286977,0.01493938,-0.05517796,0.035357,0.9903811,-0.2729056,0.1414465,STANDING
-0.0006438918,-0.006659851,0.003196316,0.01043673,-0.05297453,0.03918644,0.9933369,-0.2757625,0.1382681,STANDING
-0.001340537,-0.004893544,0.001223956,0.01414367,-0.05273589,0.04282269,0.9926135,-0.2741347,0.1362128,STANDING
-0.000848235,-0.00418043,0.0004447024,0.01681142,-0.0568102,0.04422634,0.9930775,-0.2735625,0.1353554,STANDING
-0.003762712,-0.002263106,0.002151758,0.02038155,-0.06256307,0.04594656,0.9901332,-0.2717883,0.136989,STANDING
-0.005991513,-0.003345571,0.004910927,0.0215194,-0.06738733,0.05114709,0.987873,-0.2730155,0.1396794,STANDING
